name,distance_kb,replicate,enh_max,enh_mean,enh_auc,prom_max,prom_mean,prom_auc,spacer_mean,global_mean,global_max
Distance_1kb_rep1,1,1,0.26171875,0.009378310292959213,18.763572692871094,0.13671875,0.005267511587589979,5.265037536621094,0.003376798704266548,0.004003307316452265,0.26953125
Distance_1kb_rep2,1,2,0.25390625,0.010024011135101318,20.054296493530273,0.1494140625,0.005729788914322853,5.723666191101074,0.003160279244184494,0.003997961059212685,0.25390625
Distance_1kb_rep3,1,3,0.2734375,0.009832913987338543,19.674535751342773,0.1328125,0.005788574926555157,5.786259174346924,0.0029379811603575945,0.003989116754382849,0.2734375
Distance_5kb_rep1,5,1,0.265625,0.010104619897902012,20.216615676879883,0.140625,0.005476694088429213,5.47413444519043,0.0031076499726623297,0.004010452423244715,0.26953125
Distance_5kb_rep2,5,2,0.25,0.009568773210048676,19.145652770996094,0.154296875,0.00596581632271409,5.959323883056641,0.003121158806607127,0.003977607470005751,0.25
Distance_5kb_rep3,5,3,0.25,0.009219469502568245,18.446441650390625,0.1328125,0.005978770554065704,5.976436138153076,0.0032687182538211346,0.003967090975493193,0.265625
Distance_10kb_rep1,10,1,0.27734375,0.009905855171382427,19.81884002685547,0.140625,0.005558500066399574,5.555879592895508,0.0037817538250237703,0.003975009545683861,0.27734375
Distance_10kb_rep2,10,2,0.294921875,0.010548867285251617,21.102867126464844,0.1591796875,0.006161062978208065,6.15451717376709,0.003432060591876507,0.0039826808497309685,0.294921875
Distance_10kb_rep3,10,3,0.27734375,0.010149214416742325,20.306781768798828,0.13671875,0.006101982202380896,6.099555969238281,0.003837805474177003,0.003961832262575626,0.27734375
Distance_25kb_rep1,25,1,0.27734375,0.009854909032583237,19.71569061279297,0.14453125,0.005657802801579237,5.655073165893555,0.0039786542765796185,0.003979519009590149,0.27734375
Distance_25kb_rep2,25,2,0.287109375,0.010304562747478485,20.616769790649414,0.162109375,0.006250488106161356,6.2439422607421875,0.0037365814205259085,0.003970918245613575,0.287109375
Distance_25kb_rep3,25,3,0.294921875,0.011534136720001698,23.067737579345703,0.138671875,0.006158357486128807,6.155908584594727,0.003979996778070927,0.003945743665099144,0.294921875
Distance_50kb_rep1,50,1,0.265625,0.010021300986409187,20.049823760986328,0.142578125,0.005581779405474663,5.579158782958984,0.003966119606047869,0.003957430832087994,0.265625
Distance_50kb_rep2,50,2,0.2734375,0.009202705696225166,18.4124698638916,0.1591796875,0.006176878698170185,6.170332908630371,0.00388291385024786,0.003960487432777882,0.2734375
Distance_50kb_rep3,50,3,0.2734375,0.009913451038300991,19.835708618164062,0.13671875,0.0061198025941848755,6.117376327514648,0.004137340467423201,0.003943012095987797,0.2734375
Distance_100kb_rep1,100,1,0.26171875,0.00942396093159914,18.856090545654297,0.140625,0.00558453006669879,5.5819091796875,0.0039697070606052876,0.003949420060962439,0.265625
Distance_100kb_rep2,100,2,0.2734375,0.00921196024864912,18.432262420654297,0.1591796875,0.006187872961163521,6.181326866149902,0.003857092699036002,0.0039637405425310135,0.2734375
Distance_100kb_rep3,100,3,0.25,0.009368364699184895,18.74480628967285,0.13671875,0.006132976617664099,6.130550384521484,0.004103792831301689,0.003934481181204319,0.26171875
Distance_200kb_rep1,200,1,0.26171875,0.009937860071659088,19.866714477539062,0.140625,0.005571678280830383,5.569057464599609,0.003953361883759499,0.0039461334235966206,0.26171875
Distance_200kb_rep2,200,2,0.28125,0.010561982169747353,21.13172721862793,0.1591796875,0.0061555299907922745,6.148983955383301,0.0039006932638585567,0.003952473402023315,0.28125
Distance_200kb_rep3,200,3,0.25390625,0.009318744763731956,18.640430450439453,0.13671875,0.006074424833059311,6.072059631347656,0.004031417425721884,0.003908482380211353,0.26171875
Distance_500kb_rep1,500,1,0.2734375,0.010804034769535065,21.61655616760254,0.13671875,0.005428642500191927,5.426082611083984,0.0039051673375070095,0.0038949246518313885,0.2734375
Distance_500kb_rep2,500,2,0.28125,0.009977714158594608,19.964643478393555,0.154296875,0.006006631068885326,6.000290870666504,0.0038937749341130257,0.003903695847839117,0.28125
Distance_500kb_rep3,500,3,0.265625,0.009801351465284824,19.608125686645508,0.1328125,0.005963546689599752,5.961212158203125,0.003892549080774188,0.003867259481921792,0.265625
