pair,enhancer1,enhancer2,observed,expected,additivity_score,interaction,expected_interaction
HS2+GATA1,HS2,GATA1,1.6875,1.898438,0.8888886547782967,interference,synergy
HS2+KLF1,HS2,KLF1,5.6875,5.0625,1.123456790123457,synergy,synergy
HS2+TAL1,HS2,TAL1,1.203125,1.253906,0.9595017489349281,independent,synergy
GATA1+KLF1,GATA1,KLF1,8.0625,6.3984380000000005,1.2600731616060044,synergy,synergy
GATA1+TAL1,GATA1,TAL1,1.875,2.5898440000000003,0.7239818305658564,interference,synergy
KLF1+TAL1,KLF1,TAL1,5.5,5.753906,0.9558724108457802,independent,synergy
HS2+HNF4A,HS2,HNF4A,0.648438,0.90625,0.7155177931034482,interference,interference
GATA1+HNF4A,GATA1,HNF4A,1.703125,2.242188,0.7595817121490258,interference,interference
KLF1+HNF4A,KLF1,HNF4A,5.1875,5.40625,0.9595375722543352,independent,interference
TAL1+HNF4A,TAL1,HNF4A,1.046875,1.597656,0.6552568262504569,interference,interference
